time,x,rho,u,p,T,energy
0.237574,0.175,0.0809198,1,10000,341.851,308948
0.237574,0.185,0.0810322,1,10000,341.377,308520
0.237574,0.195,0.0811454,1,10000,340.901,308090
0.237574,0.205,0.0812592,1,10000,340.423,307658
0.237574,0.215,0.0813737,1,10000,339.944,307225
0.237574,0.225,0.081489,1,10000,339.463,306791
0.237574,0.235,0.0816048,1,10000,338.981,306355
0.237574,0.245,0.0817214,1,10000,338.498,305918
0.237574,0.255,0.0818385,1,10000,338.013,305480
0.237574,0.265,0.0819563,1,10000,337.528,305041
0.237574,0.275,0.0820747,1,10000,337.041,304601
0.237574,0.285,0.0821937,1,10000,336.553,304160
0.237574,0.295,0.0823133,1,10000,336.064,303718
0.237574,0.305,0.0824334,1,10000,335.574,303276
0.237574,0.315,0.0825541,1,10000,335.083,302832
0.237574,0.325,0.0826753,1,10000,334.592,302388
0.237574,0.335,0.0827971,1,10000,334.1,301943
0.237574,0.345,0.0829194,1,10000,333.607,301498
0.237574,0.355,0.0830422,1,10000,333.114,301052
0.237574,0.365,0.0831655,1,10000,332.62,300606
0.237574,0.375,0.0832892,1,10000,332.126,300159
0.237574,0.385,0.0834135,1,10000,331.631,299712
0.237574,0.395,0.0835382,1,10000,331.136,299265
0.237574,0.405,0.0836633,1,10000,330.641,298817
0.237574,0.415,0.083789,1,10000,330.145,298369
0.237574,0.425,0.083915,1,10000,329.649,297921
0.237574,0.435,0.0840415,1,10000,329.153,297473
0.237574,0.445,0.0841684,1,10000,328.657,297024
0.237574,0.455,0.0842958,1,10000,328.16,296575
0.237574,0.465,0.0844235,1,10000,327.664,296126
0.237574,0.475,0.0845517,1,10000,327.167,295678
0.237574,0.485,0.0846803,1,10000,326.67,295229
0.237574,0.495,0.0848093,1,10000,326.173,294780
0.237574,0.505,0.0849386,1,10000,325.676,294331
0.237574,0.515,0.0850684,1,10000,325.18,293882
0.237574,0.525,0.0851986,1,10000,324.683,293432
0.237574,0.535,0.0853292,1,10000,324.186,292983
0.237574,0.545,0.0854602,1,10000,323.689,292534
0.237574,0.555,0.0855916,1,10000,323.192,292085
0.237574,0.565,0.0857235,1,10000,322.695,291636
